Transistor year,Transistor density
1971,191.6667
1972,250
1974,225
1976,325
1978,878.7879
1982,916.6667
1982,2734.694
1985,2644.231
1989,4195.804
1989,6822.168
1993,10544.22
1995,17915.31
1997,38461.54
1999,74218.75
2000,262500
2002,379310.3
2004,1018182
2006,2044444
2007,1522523
2008,1958333
2008,2771084
2008,2779468
2008,3777336
2010,4875000
2011,5230415
2012,6750000
2012,8750000
2012,6944444
2013,7265625
2014,7909605
2015,14344262
2016,13008130
2016,15789474
2014,22471910
2014,23437500
2016,26400000
2017,48190071
2018,82862976
2018,81967213