Year,SRAM density(bits/mm^2)
1965,0.02136498516
1969,48.54368932
1975,749.1583393
1975,1010.17662
1977,1186.594698
1977,1337.423173
1977,999.195947
1977,899.9503587
1979,1314.711237
1980,1280.409731
1981,2646.656532
1981,2873.494684
1981,3096.53932
1981,3262.893552
1981,3438.185381
1981,3732.509971
1983,3582.495925
1983,3194.888179
1984,6734.006734
1985,6695.323992
1986,7936.507937
1989,20000
1991,
1992,50000
1994,48780.4878
1995,125000
1996,97465.88694
1998,178890.8766
1998,185185.1852
1998,312500
1999,236406.6194
2000,478468.8995
2001,769230.7692
2001,555555.5556
2002,1000000
2002,1008064.516
2004,1754385.965
2004,1923076.923
2005,1851851.852
2007,2890173.41
2007,4016064.257
2007,4761904.762
2008,6369426.752
2009,6756756.757
2009,8333333.333
2010,12500000
2012,10869565.22
2014,17006802.72
2016,25000000
2017,32051282.05
2017,37174721.19
2018,38167938.93
2019,47619047.62
2022,41666666.67